timestamp_utc,username,event_source,auth_type,source_ip,country,result,failure_reason,is_injected_anomaly
2026-02-09T06:06:40+00:00,alice,windows-ad,password,192.168.10.123,US,SUCCESS,,false
2026-02-07T02:57:29+00:00,svc_backup,linux-sshd,password,10.99.0.40,US,SUCCESS,,false
2026-02-09T15:53:30+00:00,dave,vpn-gateway,password,10.10.40.207,GB,SUCCESS,,false
2026-02-08T11:00:15+00:00,carol,linux-sshd,ssh_key,192.168.30.143,CA,SUCCESS,,false
2026-02-05T09:13:29+00:00,dave,vpn-gateway,password,192.168.40.146,GB,SUCCESS,,false
2026-02-06T15:47:04+00:00,bob,windows-ad,ssh_key,10.10.20.247,US,SUCCESS,,false
2026-02-07T10:09:27+00:00,dave,linux-sshd,password,192.168.40.66,GB,SUCCESS,,false
2026-02-05T11:03:33+00:00,svc_backup,windows-ad,password,10.99.0.11,US,SUCCESS,,false
2026-02-10T05:36:29+00:00,bob,linux-sshd,ssh_key,192.168.20.227,US,SUCCESS,,false
2026-02-06T10:06:34+00:00,alice,linux-sshd,password,10.10.10.195,US,SUCCESS,,false
2026-02-07T09:48:59+00:00,carol,windows-ad,password,10.10.30.215,CA,SUCCESS,,false
2026-02-08T15:42:13+00:00,carol,linux-sshd,password,192.168.30.192,CA,SUCCESS,,false
2026-02-07T17:49:52+00:00,svc_backup,linux-sshd,password,10.99.0.25,US,SUCCESS,,false
2026-02-06T06:37:31+00:00,dave,linux-sshd,password,192.168.40.195,GB,SUCCESS,,false
2026-02-08T23:20:03+00:00,svc_backup,linux-sshd,password,10.99.0.49,US,SUCCESS,,false
2026-02-05T07:54:11+00:00,bob,linux-sshd,password,192.168.20.123,US,SUCCESS,,false
2026-02-10T12:19:29+00:00,dave,windows-ad,password,10.10.40.199,GB,FAILURE,mfa_denied,false
2026-02-04T15:40:59+00:00,carol,linux-sshd,password,10.10.30.175,CA,SUCCESS,,false
2026-02-07T08:33:56+00:00,carol,linux-sshd,password,45.33.97.127,FR,FAILURE,bad_password,true
2026-02-04T05:16:10+00:00,svc_backup,linux-sshd,password,10.99.0.18,US,SUCCESS,,false
2026-02-06T23:48:30+00:00,svc_backup,linux-sshd,password,10.99.0.124,US,SUCCESS,,false
2026-02-04T07:33:20+00:00,bob,vpn-gateway,password,192.168.20.90,US,FAILURE,user_not_found,false
2026-02-08T11:23:33+00:00,dave,linux-sshd,password,10.10.40.244,GB,SUCCESS,,false
2026-02-05T14:21:40+00:00,dave,windows-ad,password,10.10.40.38,GB,SUCCESS,,false
2026-02-10T11:11:01+00:00,bob,linux-sshd,password,192.168.20.53,US,SUCCESS,,false
2026-02-09T12:30:28+00:00,bob,linux-sshd,ssh_key,10.10.20.183,US,SUCCESS,,false
2026-02-08T16:54:25+00:00,carol,linux-sshd,password,10.10.30.35,CA,SUCCESS,,false
2026-02-09T11:48:29+00:00,svc_backup,linux-sshd,password,10.99.0.248,US,SUCCESS,,false
2026-02-07T16:39:28+00:00,carol,vpn-gateway,password,10.10.30.89,CA,SUCCESS,,false
2026-02-05T08:20:11+00:00,dave,linux-sshd,ssh_key,10.10.40.104,GB,SUCCESS,,false
2026-02-08T13:32:43+00:00,dave,linux-sshd,ssh_key,10.10.40.196,GB,SUCCESS,,false
2026-02-08T01:40:14+00:00,carol,linux-sshd,password,10.10.30.91,CA,SUCCESS,,false
2026-02-10T12:04:38+00:00,bob,linux-sshd,password,192.168.20.98,US,SUCCESS,,false
2026-02-06T10:14:28+00:00,bob,linux-sshd,password,192.168.20.211,US,FAILURE,mfa_denied,false
2026-02-06T08:02:58+00:00,bob,linux-sshd,password,10.10.20.171,US,SUCCESS,,false
2026-02-09T10:21:48+00:00,alice,linux-sshd,password,10.10.10.206,US,SUCCESS,,false
2026-02-10T00:21:08+00:00,svc_backup,windows-ad,password,10.99.0.141,US,SUCCESS,,false
2026-02-05T15:39:33+00:00,dave,vpn-gateway,password,192.168.40.213,GB,SUCCESS,,false
2026-02-07T07:24:08+00:00,bob,linux-sshd,mfa_push,192.168.20.164,US,SUCCESS,,false
2026-02-09T04:45:10+00:00,svc_backup,linux-sshd,password,10.99.0.125,US,SUCCESS,,false
2026-02-07T10:08:54+00:00,bob,linux-sshd,password,192.168.20.179,US,SUCCESS,,false
2026-02-08T21:34:14+00:00,carol,vpn-gateway,password,192.168.30.85,CA,SUCCESS,,false
2026-02-07T13:50:04+00:00,bob,vpn-gateway,password,10.10.20.92,US,SUCCESS,,false
2026-02-06T11:21:47+00:00,bob,linux-sshd,password,10.10.20.177,US,SUCCESS,,false
2026-02-04T20:51:05+00:00,svc_backup,linux-sshd,password,10.99.0.136,US,SUCCESS,,false
2026-02-05T10:44:39+00:00,svc_backup,windows-ad,password,10.99.0.98,US,SUCCESS,,false
2026-02-08T16:50:14+00:00,bob,linux-sshd,password,192.168.20.156,US,SUCCESS,,false
2026-02-09T15:28:46+00:00,svc_backup,linux-sshd,password,10.99.0.19,US,SUCCESS,,false
2026-02-04T13:16:32+00:00,svc_backup,linux-sshd,password,10.99.0.146,US,SUCCESS,,false
2026-02-05T04:30:11+00:00,carol,windows-ad,password,10.10.30.121,US,SUCCESS,,false
2026-02-09T13:46:38+00:00,alice,linux-sshd,password,192.168.10.109,US,SUCCESS,,false
2026-02-09T08:16:45+00:00,bob,linux-sshd,password,192.168.20.122,US,SUCCESS,,false
2026-02-09T14:49:46+00:00,bob,windows-ad,ssh_key,10.10.20.35,US,SUCCESS,,false
2026-02-10T11:31:20+00:00,dave,linux-sshd,mfa_push,192.168.40.20,GB,SUCCESS,,false
2026-02-04T04:56:09+00:00,svc_backup,vpn-gateway,password,10.99.0.175,US,SUCCESS,,false
2026-02-08T13:01:05+00:00,carol,windows-ad,ssh_key,192.168.30.85,CA,SUCCESS,,false
2026-02-09T15:53:10+00:00,carol,vpn-gateway,password,192.168.30.100,CA,SUCCESS,,false
2026-02-08T06:31:07+00:00,dave,linux-sshd,password,10.10.40.146,GB,SUCCESS,,false
2026-02-06T12:43:36+00:00,carol,windows-ad,ssh_key,192.168.30.37,CA,SUCCESS,,false
2026-02-10T05:41:04+00:00,svc_backup,windows-ad,password,10.99.0.254,US,SUCCESS,,false
2026-02-04T07:23:33+00:00,dave,windows-ad,password,192.168.40.205,GB,SUCCESS,,false
2026-02-06T16:53:16+00:00,alice,vpn-gateway,password,10.10.10.111,US,FAILURE,bad_password,false
2026-02-10T12:03:32+00:00,alice,windows-ad,password,10.10.10.131,US,SUCCESS,,false
2026-02-05T10:48:53+00:00,bob,windows-ad,ssh_key,192.168.20.90,US,SUCCESS,,false
2026-02-07T10:51:35+00:00,dave,linux-sshd,password,10.10.40.1,GB,SUCCESS,,false
2026-02-04T21:34:27+00:00,svc_backup,linux-sshd,password,10.99.0.145,US,SUCCESS,,false
2026-02-08T02:21:31+00:00,svc_backup,windows-ad,password,10.99.0.91,US,SUCCESS,,false
2026-02-09T10:34:54+00:00,alice,windows-ad,mfa_push,192.168.10.2,US,SUCCESS,,false
2026-02-07T08:17:48+00:00,dave,windows-ad,password,10.10.40.142,US,SUCCESS,,false
2026-02-04T10:48:08+00:00,carol,linux-sshd,ssh_key,192.168.30.195,CA,SUCCESS,,false
2026-02-08T08:15:46+00:00,alice,vpn-gateway,password,192.168.10.93,US,SUCCESS,,false
2026-02-05T09:25:37+00:00,bob,windows-ad,password,192.168.20.25,US,SUCCESS,,false
2026-02-04T18:20:17+00:00,carol,windows-ad,password,10.10.30.67,CA,SUCCESS,,false
2026-02-04T16:30:15+00:00,carol,vpn-gateway,password,192.168.30.57,CA,SUCCESS,,false
2026-02-03T10:23:28+00:00,bob,windows-ad,ssh_key,10.10.20.14,US,SUCCESS,,false
2026-02-04T13:57:19+00:00,svc_backup,windows-ad,ssh_key,10.99.0.132,US,SUCCESS,,false
2026-02-08T01:51:41+00:00,svc_backup,linux-sshd,password,10.99.0.102,US,SUCCESS,,false
2026-02-05T15:27:35+00:00,carol,windows-ad,password,192.168.30.37,CA,SUCCESS,,false
2026-02-06T18:56:21+00:00,carol,windows-ad,password,192.168.30.125,CA,SUCCESS,,false
2026-02-08T10:41:48+00:00,dave,vpn-gateway,password,10.10.40.30,GB,SUCCESS,,false
2026-02-03T14:42:41+00:00,alice,windows-ad,password,192.168.10.91,US,SUCCESS,,false
2026-02-06T10:02:30+00:00,dave,linux-sshd,password,10.10.40.67,GB,SUCCESS,,false
2026-02-04T07:29:56+00:00,bob,vpn-gateway,password,203.0.113.114,US,SUCCESS,,true
2026-02-06T14:22:41+00:00,carol,windows-ad,password,10.10.30.180,CA,SUCCESS,,false
2026-02-10T11:28:06+00:00,alice,vpn-gateway,ssh_key,192.168.10.82,US,SUCCESS,,false
2026-02-08T10:15:04+00:00,alice,linux-sshd,ssh_key,192.168.10.113,US,SUCCESS,,false
2026-02-09T15:09:18+00:00,carol,linux-sshd,password,10.10.30.21,CA,SUCCESS,,false
2026-02-09T16:31:08+00:00,svc_backup,linux-sshd,password,10.99.0.78,FR,SUCCESS,,false
2026-02-10T02:47:11+00:00,dave,linux-sshd,ssh_key,192.168.40.56,GB,SUCCESS,,false
2026-02-07T10:52:38+00:00,bob,linux-sshd,password,192.168.20.195,US,SUCCESS,,false
2026-02-09T21:25:09+00:00,svc_backup,linux-sshd,password,10.99.0.200,US,SUCCESS,,false
2026-02-08T10:34:07+00:00,bob,windows-ad,password,10.10.20.131,US,SUCCESS,,false
2026-02-09T10:58:10+00:00,svc_backup,windows-ad,password,10.99.0.93,US,SUCCESS,,false
2026-02-05T14:32:28+00:00,svc_backup,vpn-gateway,password,10.99.0.86,US,SUCCESS,,false
2026-02-08T17:34:09+00:00,carol,linux-sshd,ssh_key,10.10.30.96,CA,SUCCESS,,false
2026-02-06T11:50:22+00:00,bob,linux-sshd,ssh_key,192.168.20.102,US,SUCCESS,,false
2026-02-09T13:35:39+00:00,carol,linux-sshd,password,10.10.30.220,CA,SUCCESS,,false
2026-02-06T10:35:37+00:00,svc_backup,windows-ad,password,10.99.0.72,US,SUCCESS,,false
2026-02-10T07:04:43+00:00,bob,linux-sshd,password,10.10.20.247,US,SUCCESS,,false
2026-02-06T08:27:30+00:00,bob,vpn-gateway,ssh_key,10.10.20.100,US,SUCCESS,,false
2026-02-07T16:20:45+00:00,bob,linux-sshd,password,10.10.20.68,US,SUCCESS,,false
2026-02-10T13:41:09+00:00,carol,windows-ad,password,10.10.30.238,CA,SUCCESS,,false
2026-02-10T14:58:06+00:00,alice,linux-sshd,password,10.10.10.60,US,SUCCESS,,false
2026-02-10T16:02:50+00:00,alice,windows-ad,ssh_key,10.10.10.55,GB,SUCCESS,,false
2026-02-05T08:07:55+00:00,bob,windows-ad,password,192.168.20.161,US,SUCCESS,,false
2026-02-06T14:28:36+00:00,bob,vpn-gateway,ssh_key,10.10.20.238,US,SUCCESS,,false
2026-02-07T17:55:32+00:00,carol,vpn-gateway,password,192.168.30.93,CA,SUCCESS,,false
2026-02-06T13:48:27+00:00,alice,vpn-gateway,password,10.10.10.163,US,SUCCESS,,false
2026-02-09T09:00:02+00:00,bob,windows-ad,password,192.168.20.37,US,SUCCESS,,false
2026-02-05T11:04:53+00:00,carol,windows-ad,password,192.168.30.101,CA,SUCCESS,,false
2026-02-06T15:35:19+00:00,carol,linux-sshd,password,10.10.30.74,CA,SUCCESS,,false
2026-02-08T15:26:56+00:00,bob,linux-sshd,password,10.10.20.137,US,SUCCESS,,false
2026-02-04T11:28:17+00:00,alice,vpn-gateway,password,10.10.10.84,US,SUCCESS,,false
2026-02-06T13:06:51+00:00,carol,linux-sshd,password,10.10.30.18,JP,SUCCESS,,false
2026-02-09T10:58:09+00:00,alice,windows-ad,password,10.10.10.215,US,SUCCESS,,false
2026-02-08T09:29:02+00:00,dave,windows-ad,ssh_key,10.10.40.1,GB,SUCCESS,,false
2026-02-08T07:22:34+00:00,svc_backup,linux-sshd,password,10.99.0.175,US,SUCCESS,,false
